,视频标题,播放数
42,"【IGN】4分，《Jump Up, Super Star!》翻唱评测：高音唱不上去（百万粉整活）",285035
43,国外声乐老师如何评价 曾一鸣《也许明天》中国最强音初舞台 REACTION,263633
44,王招君- 任素汐 | 朋友啊，你该坦然地释然啦,234062
45,震惊！嘉宾为抢歌，竟大打出“脚”！华语金曲猜歌名（下）,184300
46,【Red Velvet】#What A Chill Kill 🩷💚,223243
47,在音乐厅听到《鸟之诗》的一瞬间真的很想哭！,112517
48,“懒羊羊，唱支歌吧”,302974
49,Chirs James - “没有什么比雨过天晴后的阳光更美好绚烂”，新歌《sugar》将于本周五正式上线！！！,1135483
50,【BLACKPINK】Drama AI cover 推万转出圈！,177423
51,瑶瑶领先是什么梗【梗指南】,349537
52,你们要的《神兵小将》片尾曲改古风,529628
53,中岛美嘉||《曾经我也想过一了百了》舞台纯享|【爱唱歌的大学生】,1026694
54,竟然有人用宝可梦招式名串了一首歌？,223426
55,当我把郭顶的《凄美地》翻译成俄语后……,160941
56,【原创歌曲】粛聖!! ロリ神レクイエム☆ _ 时雨羽衣（9岁）,10262179
57,“曲名为天下，却句句不离她。”,1532246
58,futurestepsis,224014
59,地库挑战人鱼之歌～！像朵莉亚一样自由！,159252
60,【十年榜】2010-2019年华语热门歌曲TOP101-200:神仙打架已不再，菜鸡互啄成主流!,137744
61,当Drama全是男团炸裂气泡音？我妈让我和弟弟滚出去发疯【aespa Drama 翻唱】,143965
62,听说你能忍住不抖腿？【盘点2016年度经典神仙EDM-】,75313
63,面试合集-钟晨瑶-下雨天了怎么办,183499
64,昔人已乘黄鹤去，此地空余黄鹤楼。黄鹤一去不复返，白云千载空悠悠。晴川历历汉阳树，芳草萋萋鹦鹉洲。日暮乡关何处是？，烟波江上使人愁。,143612
65,在百万豪装录音棚大声听 单依纯《想你时风起》【Hi-res】,134278
66,这些乐器也太雷人了吧！,185941
67,我不信你没听过！但你绝对不知道歌名的宝藏歌曲！,264309
68,“林俊杰隐藏了多年的秘密”,167740
69,拥有全世界的好人缘却拥有不了你,53530
70,"【威神V】爆笑了...全员 “名场面"" 还原挑战? 超萌惩罚cha? 全程高能!【声音速写 ep38】",73077
71,盛宇新专辑先行曲《头炮》Reaction 质量如何 听众说的算【说唱Reaction】,154132
72,【PHONK X 超现实主义】AI始终取代不了人类因为:,122253
73,「七海うらら&ちるどん」Surges / Orangestar【short cover】,159096
74,当cos三笠唱《进击的巨人》完结篇，眼泪绷不住了,189310
75,全网最无违和感的《萝莉神的安魂曲》中文翻填！简直就是原版（×）,326737
76,老外到底魔改了多少中国老歌和戏曲啊?「vol.56」,100426
77,飘柔护理套装系列正品哦那怪这么丝滑，我勒个逗,121566
78,用泳知唱法唱一下aespa的drama,226644
79,驻场时上演的感人一幕,198871
80,坏了 老公变成摇子了、、,87190
81,这就是我看了伍佰演唱会却不敢发朋友圈的原因,187392
82,【imase】官方4K MV｜NIGHT DANCER,85441
83,【中文版翻唱】「轻涟」（芙宁娜传说任务《水的女儿》）,906719
84,【AI剑魔】着魔,219693
85,耳熟能详，当年“血洗”全球的100首英文歌！,144318
86,我谈音乐的时候为什么总谈歌词，那是因为中国流行音乐论音乐根本没啥可聊的。,143105
87,【SHINee】Chill Guilty🐻🐣,130921
88,so fresh+打火机翻唱,334975
89,今天终于没被赶出教室,195060
90,用五首歌让你感受世界殿堂级说唱的魅力！,232068
91,盘点2023年夏天刷屏网络的八支舞蹈,1222269
92,陈粒||《历历万乡》舞台纯享|【爱唱歌的大学生】,778428
93,32人大型男团内部爆发大混战？！| Stray Kids最新回归曲《樂（LALALALA）》概念解读,42690
94,这年头还有人写这样震撼而悲凉的血泪之歌！闫泽欢《李金明》,633267
95,【街头钢琴】餐厅里突然出现的神仙合奏演唱，这也太好听了叭！！,185196
96,你知道二十年前的韩流有多恐怖！每一首都是神曲，你还记得这些歌曲吗？,3755932
97,ダーリン(Darling) - ふぉるて【Cover】,41507
98,【清唱】“我是你们那个未能杀死的女巫的女儿！” /大蟠桃子怒唱《Savage Daughter》！！！,314972
99,"违反""约法三章""?! 盛宇新专《头炮》炮轰网上言论!! 【REACTION】",139885
